Column1,Typo,Target,Match 1,Match 12,Match 2,Match 22,Match 3,Column4,Column5
0,ABbacavir,Abacavir,Abacavir,1,Abacavir/lamivudine,0,Meropenem/vaborbactam,0,
1,AbacavirAbacavir,Abacavir,Abacavir,1,Abacavir/lamivudine,0,Ribavirin,0,
2,AbacavRrAbacavir,Abacavir,Abacavir,1,Ribavirin,0,Abacavir/lamivudine,0,
3,AbacaIir,Abacavir,Abacavir,1,Abacavir/lamivudine,0,Aciclovir,0,
4,Abaocavir/lamivudine,Abacavir/lamivudine,Abacavir/lamivudine,1,Lamivudine,0,Efavirenz/lamivudine/tenofovir,0,
5,Abaocavir/lamJivudine,Abacavir/lamivudine,Abacavir/lamivudine,1,Lamivudine,0,Abacavir,0,
6,Abcavir/lamivudine,Abacavir/lamivudine,Abacavir/lamivudine,1,Lamivudine,0,Efavirenz/lamivudine/tenofovir,0,
7,Abcavir/laivudine,Abacavir/lamivudine,Abacavir/lamivudine,1,Lamivudine,0,Abacavir,0,
8,Abirateroe,Abiraterone,Abiraterone,1,Amiodarone,0,Dabigatran,0,
9,Abiaterone,Abiraterone,Abiraterone,1,Amiodarone,0,Dabigatran,0,
10,Abirarerone,Abiraterone,Abiraterone,1,Amiodarone,0,Paliperidone,0,
11,Acetzolamide,Acetazolamide,Acetazolamide,1,Ethionamide,0,Metoclopramide,0,
12,Acetazolmide,Acetazolamide,Acetazolamide,1,Ceftazidime,0,Cefazolin,0,
13,cetic acid,Acetic acid,Acetic acid,1,Zoledronic acid,0,P-aminosalicylic acid,0,
14,cetic acd,Acetic acid,Acetic acid,1,Ascorbic acid,0,Folic acid,0,
15,Bcetic acid,Acetic acid,Acetic acid,1,P-aminosalicylic acid,0,Acetylsalicylic acid,0,
16,Acetylysteine,Acetylcysteine,Acetylcysteine,1,Cycloserine,0,Colistin,0,
17,Acetylystine,Acetylcysteine,Acetylcysteine,1,Cycloserine,0,Colistin,0,
18,Acetnlcysteine,Acetylcysteine,Acetylcysteine,1,Vinblastine,0,Varenicline,0,
19,AcetnlcPsteine,Acetylcysteine,Acetylcysteine,1,Cycloserine,0,Vinblastine,0,
20,AcetylsalVcylic acid,Acetylsalicylic acid,Acetylsalicylic acid,1,Folic acid,0,Acetic acid,0,
21,Acetylsalicylic acd,Acetylsalicylic acid,Acetylsalicylic acid,1,Salicylic acid,0,P-aminosalicylic acid,0,
22,AcicloWvir,Aciclovir,Aciclovir,1,Valganciclovir,0,Ciclosporin,0,
23,AAcicloWvir,Aciclovir,Aciclovir,1,Valganciclovir,0,Abacavir,0,
24,AdalimumaIb,Adalimumab,Adalimumab,1,Calcium,0,Bevacizumab,0,
25,AdalimwumaIb,Adalimumab,Adalimumab,1,Calcium,0,Imatinib,0,
26,Adaliumab,Adalimumab,Adalimumab,1,Calcium,0,Bevacizumab,0,
27,Adaliuab,Adalimumab,Adalimumab,1,Calcium,0,Bevacizumab,0,
28,Albendzole,Albendazole,Albendazole,1,Triclabendazole,0,Mebendazole,0,
29,AlbendzolAlbendzole,Albendazole,Albendazole,1,Benznidazole,0,Mebendazole,0,
30,AlbendazAole,Albendazole,Albendazole,1,Mebendazole,0,Benznidazole,0,
31,Alcobol based hand rub,Alcohol based hand rub,Alcohol based hand rub,1,Coal tar,0,Ethanol,0,
32,ll-trans retinoic acid,All-trans retinoic acid,All-trans retinoic acid,1,Ascorbic acid,0,Acetic acid,0,
33,ll-transretinoic acid,All-trans retinoic acid,All-trans retinoic acid,1,Valproic acid,0,Acetic acid,0,
34,All-tranqs retinoic acid,All-trans retinoic acid,All-trans retinoic acid,1,Zoledronic acid,0,Ascorbic acid,0,
35,All-tranqs retinoic Wacid,All-trans retinoic acid,All-trans retinoic acid,1,Retinol,0,Folic acid,0,
36,Allpurinol,Allopurinol,Allopurinol,1,Haloperidol,0,Calcipotriol,0,
37,Allprinol,Allopurinol,Allopurinol,1,Haloperidol,0,Calcipotriol,0,
38,AlteplaVse,Alteplase,Alteplase,1,Raltegravir,0,Lactulose,0,
39,AlteIlase,Alteplase,Alteplase,1,Lactulose,0,Halothane,0,
40,AmidotrizoNate,Amidotrizoate,Amidotrizoate,1,Amiodarone,0,Lamotrigine,0,
41,AmidotrizoNIate,Amidotrizoate,Amidotrizoate,1,Amiodarone,0,Lamotrigine,0,
42,AmikacJin,Amikacin,Amikacin,1,Isoniazid/pyrazinamide/rifampicin,0,Isoniazid/rifampicin,0,
43,AmikacxJin,Amikacin,Amikacin,1,Rifampicin,0,Plazomicin,0,
44,AWikacin,Amikacin,Amikacin,1,Natamycin,0,Isoniazid/pyrazinamide/rifampicin,0,
45,ADikacin,Amikacin,Amikacin,1,Silver sulfadiazine,0,Sulfadiazine,0,
46,Amilorie,Amiloride,Amiloride,1,Amidotrizoate,0,Amlodipine,0,
47,Amilrie,Amiloride,Amiloride,1,Pentamidine,0,Amitriptyline,0,
48,Amiodaone,Amiodarone,Amiodarone,1,Amodiaquine,0,Iodine,0,
49,Amiydarone,Amiodarone,Amiodarone,1,Abiraterone,0,Amidotrizoate,0,
50,AZmitriptyline,Amitriptyline,Amitriptyline,1,Lamotrigine,0,Atropine,0,
51,AmiOriptyline,Amitriptyline,Amitriptyline,1,Amlodipine,0,Lamotrigine,0,
52,AmiOriptylBne,Amitriptyline,Amitriptyline,1,Amiloride,0,Amidotrizoate,0,
53,AmloKipine,Amlodipine,Amlodipine,1,Lisinopril/amlodipine,0,Telmisartan/amlodipine,0,
54,AmQoKipine,Amlodipine,Amlodipine,1,Lisinopril/amlodipine,0,Telmisartan/amlodipine,0,
55,Amlodipmine,Amlodipine,Amlodipine,1,Telmisartan/amlodipine,0,Lisinopril/amlodipine,0,
56,Amlokdipmine,Amlodipine,Amlodipine,1,Telmisartan/amlodipine,0,Lisinopril/amlodipine,0,
57,Amodiaquinze,Amodiaquine,Amodiaquine,1,Artesunate/amodiaquine,0,Amlodipine,0,
58,Amodiaquinzie,Amodiaquine,Amodiaquine,1,Artesunate/amodiaquine,0,Quinine,0,
59,AmodiIquine,Amodiaquine,Amodiaquine,1,Artesunate/amodiaquine,0,Amlodipine,0,
60,AmodhIquine,Amodiaquine,Amodiaquine,1,Artesunate/amodiaquine,0,Amlodipine,0,
61,AmodiaqKine,Amodiaquine,Amodiaquine,1,Artesunate/amodiaquine,0,Amlodipine,0,
62,Amoxicilin,Amoxicillin,Amoxicillin,1,Amoxicillin/clavulanic acid,0,Ampicillin,0,
63,AmoxiciliAmoxicilin,Amoxicillin,Amoxicillin,1,Ampicillin,0,Moxifloxacin,0,
64,AmYoxicillin,Amoxicillin,Amoxicillin,1,Amoxicillin/clavulanic acid,0,Ampicillin,0,
65,Amoxcillin,Amoxicillin,Amoxicillin,1,Amoxicillin/clavulanic acid,0,Ampicillin,0,
66,Amoxillin,Amoxicillin,Amoxicillin,1,Ampicillin,0,Cloxacillin,0,
67,AmoxiciOlin/clavulanic acid,Amoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,1,Zoledronic acid,0,Valproic acid,0,
68,AmoxiciOlin/clavulanic acivAmoxiciOlin/clavulanic acid,Amoxicillin/clavulanic acid,Zoledronic acid,0,P-aminosalicylic acid,0,Folic acid,0,
69,Amoxicillin/clavulanic acivAmoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,1,Amoxicillin,0,Zoledronic acid,0,
70,Amoxicillin/Nlavulanic acivAmoxicillin/clavulanic acid,Amoxicillin/clavulanic acid,Amoxicillin,0,Amoxicillin/clavulanic acid,1,Zoledronic acid,0,
71,AGmphotericin B,Amphotericin B,Amphotericin B,1,Haemophilus influenzae type b vaccine,0,Lamotrigine,0,
72,AGmphotericHin B,Amphotericin B,Amphotericin B,1,Haemophilus influenzae type b vaccine,0,Lamotrigine,0,
73,Aphotericin B,Amphotericin B,Amphotericin B,1,Haemophilus influenzae type b vaccine,0,Diphtheria vaccine,0,
74,Apicillin,Ampicillin,Ampicillin,1,Amoxicillin,0,Penicillamine,0,
75,ApicilliApicillin,Ampicillin,Ampicillin,1,Amoxicillin,0,Cloxacillin,0,
76,AnastrozoTe,Anastrozole,Anastrozole,1,Amidotrizoate,0,Abiraterone,0,
77,AnaOtrozoTe,Anastrozole,Anastrozole,1,Amidotrizoate,0,Albendazole,0,
78,AnastrLozole,Anastrozole,Anastrozole,1,Albendazole,0,Naloxone,0,
79,AnastroAole,Anastrozole,Anastrozole,1,Itraconazole,0,Ethinylestradiol/etonogestrel,0,
80,AnasLroAole,Anastrozole,Anastrozole,1,Naloxone,0,Fluconazole,0,
81,Anti-rabies immunoglobElin,Anti-rabies immunoglobulin,Anti-rabies immunoglobulin,1,Rabies vaccine,0,Equine rabies immunoglobulin,0,
