Column1,Typo,Target,Match 1,Column2,Match 2,Column3,Match 3,Column4,
0,ABbacavir,Abacavir,Abacavir,1,Entecavir,0,Aciclovir,0,
1,AbacavirAbacavir,Abacavir,Lopinavir/ritonavir,0,Sofosbuvir,0,Abacavir/lamivudine,0,
2,AbacavRrAbacavir,Abacavir,Abacavir,1,Ascorbic acid,0,Hydrocortisone,0,
3,AbacaIir,Abacavir,Abacavir,1,Ethanol,0,Iodine,0,
4,Abaocavir/lamivudine,Abacavir/lamivudine,Abacavir/lamivudine,1,Artemether/lumefantrine,0,Povidone iodine,0,
5,Abaocavir/lamJivudine,Abacavir/lamivudine,Abacavir/lamivudine,1,Artemether/lumefantrine,0,Povidone iodine,0,
6,Abcavir/lamivudine,Abacavir/lamivudine,Abacavir/lamivudine,1,Povidone iodine,0,Artemether/lumefantrine,0,
7,Abcavir/laivudine,Abacavir/lamivudine,Abacavir/lamivudine,1,Povidone iodine,0,Cefuroxime,0,
8,Abirateroe,Abiraterone,Abiraterone,1,Abacavir,0,Biperiden,0,
9,Abiaterone,Abiraterone,Amiodarone,0,Ephedrine,0,Abiraterone,1,
10,Abirarerone,Abiraterone,Abiraterone,1,Pyridoxine,0,Epinephrine,0,
11,Acetzolamide,Acetazolamide,Acetazolamide,1,Nicotinamide,0,Ethionamide,0,
12,Acetazolmide,Acetazolamide,Acetazolamide,1,Ethosuximide,0,Nicotinamide,0,
13,cetic acid,Acetic acid,Acetic acid,1,Folic acid,0,Ascorbic acid,0,
14,cetic acd,Acetic acid,Acetic acid,1,Folic acid,0,Surfactant,0,
15,Bcetic acid,Acetic acid,Acetic acid,1,Ascorbic acid,0,Folic acid,0,
16,Acetylysteine,Acetylcysteine,Acetylcysteine,1,Cytarabine,0,Zidovudine,0,
17,Acetylystine,Acetylcysteine,Acetylcysteine,1,Cytarabine,0,Zidovudine,0,
18,Acetnlcysteine,Acetylcysteine,Acetylcysteine,1,Isoflurane,0,Tetracycline,0,
19,AcetnlcPsteine,Acetylcysteine,Acetylcysteine,1,Ivermectin,0,Epinephrine,0,
20,AcetylsalVcylic acid,Acetylsalicylic acid,Acetylsalicylic acid,1,Salicylic acid,0,P-aminosalicylic acid,0,
