,0,1
0,ABbacavir,Abacavir
1,AbacavirAbacavir,Abacavir
2,AbacavRrAbacavir,Abacavir
3,AbacaIir,Abacavir
4,Abaocavir/lamivudine,Abacavir/lamivudine
5,Abaocavir/lamJivudine,Abacavir/lamivudine
6,Abcavir/lamivudine,Abacavir/lamivudine
7,Abcavir/laivudine,Abacavir/lamivudine
8,Abirateroe,Abiraterone
9,Abiaterone,Abiraterone
10,Abirarerone,Abiraterone
11,Acetzolamide,Acetazolamide
12,Acetazolmide,Acetazolamide
13,cetic acid,Acetic acid
14,cetic acd,Acetic acid
15,Bcetic acid,Acetic acid
16,Acetylysteine,Acetylcysteine
17,Acetylystine,Acetylcysteine
18,Acetnlcysteine,Acetylcysteine
19,AcetnlcPsteine,Acetylcysteine
20,AcetylsalVcylic acid,Acetylsalicylic acid
21,Acetylsalicylic acd,Acetylsalicylic acid
22,AcicloWvir,Aciclovir
23,AAcicloWvir,Aciclovir
24,AdalimumaIb,Adalimumab
25,AdalimwumaIb,Adalimumab
26,Adaliumab,Adalimumab
27,Adaliuab,Adalimumab
28,Albendzole,Albendazole
29,AlbendzolAlbendzole,Albendazole
30,AlbendazAole,Albendazole
31,Alcobol based hand rub,Alcohol based hand rub
32,ll-trans retinoic acid,All-trans retinoic acid
33,ll-transretinoic acid,All-trans retinoic acid
34,All-tranqs retinoic acid,All-trans retinoic acid
35,All-tranqs retinoic Wacid,All-trans retinoic acid
36,Allpurinol,Allopurinol
37,Allprinol,Allopurinol
38,AlteplaVse,Alteplase
39,AlteIlase,Alteplase
40,AmidotrizoNate,Amidotrizoate
41,AmidotrizoNIate,Amidotrizoate
42,AmikacJin,Amikacin
43,AmikacxJin,Amikacin
44,AWikacin,Amikacin
45,ADikacin,Amikacin
46,Amilorie,Amiloride
47,Amilrie,Amiloride
48,Amiodaone,Amiodarone
49,Amiydarone,Amiodarone
50,AZmitriptyline,Amitriptyline
51,AmiOriptyline,Amitriptyline
52,AmiOriptylBne,Amitriptyline
53,AmloKipine,Amlodipine
54,AmQoKipine,Amlodipine
55,Amlodipmine,Amlodipine
56,Amlokdipmine,Amlodipine
57,Amodiaquinze,Amodiaquine
58,Amodiaquinzie,Amodiaquine
59,AmodiIquine,Amodiaquine
60,AmodhIquine,Amodiaquine
61,AmodiaqKine,Amodiaquine
62,Amoxicilin,Amoxicillin
63,AmoxiciliAmoxicilin,Amoxicillin
64,AmYoxicillin,Amoxicillin
65,Amoxcillin,Amoxicillin
66,Amoxillin,Amoxicillin
67,AmoxiciOlin/clavulanic acid,Amoxicillin/clavulanic acid
68,AmoxiciOlin/clavulanic acivAmoxiciOlin/clavulanic acid,Amoxicillin/clavulanic acid
69,Amoxicillin/clavulanic acivAmoxicillin/clavulanic acid,Amoxicillin/clavulanic acid
70,Amoxicillin/Nlavulanic acivAmoxicillin/clavulanic acid,Amoxicillin/clavulanic acid
71,AGmphotericin B,Amphotericin B
72,AGmphotericHin B,Amphotericin B
73,Aphotericin B,Amphotericin B
74,Apicillin,Ampicillin
75,ApicilliApicillin,Ampicillin
76,AnastrozoTe,Anastrozole
77,AnaOtrozoTe,Anastrozole
78,AnastrLozole,Anastrozole
79,AnastroAole,Anastrozole
80,AnasLroAole,Anastrozole
81,Anti-rabies immunoglobElin,Anti-rabies immunoglobulin
82,Anti-rabies impunoglobulin,Anti-rabies immunoglobulin
83,AntiNrabies impunoglobulin,Anti-rabies immunoglobulin
84,Apnti-rabies immunoglobulin,Anti-rabies immunoglobulin
85,Anti-tetanus immunoglbulin,Anti-tetanus immunoglobulin
86,Anti-tetanus immunogobulin,Anti-tetanus immunoglobulin
87,Anti-tetaus immunogobulin,Anti-tetanus immunoglobulin
88,Antivenom imQunoglobulin,Antivenom immunoglobulin
89,Anivenom immunoglobulin,Antivenom immunoglobulin
90,ApreKitant,Aprepitant
91,Apepitant,Aprepitant
92,Asenic trioxide,Arsenic trioxide
93,ArtemeVher,Artemether
94,Artemetier,Artemether
95,Artemether/lumefantrine,Artemether/lumefantrine
96,Artemether/lumfantrine,Artemether/lumefantrine
97,Artmether/lumfantrine,Artemether/lumefantrine
98,Arhtesunate,Artesunate
99,ArhtesuAnate,Artesunate
100,ArtesunatzArtesunate,Artesunate
101,Artesunte,Artesunate
102,Artesunate/amodiagquine,Artesunate/amodiaquine
103,Artesunate/camodiagquine,Artesunate/amodiaquine
104,Artesunate/mefloUuine,Artesunate/mefloquine
105,Artesunate/meloquine,Artesunate/mefloquine
106,Artesunate/meflotquine,Artesunate/mefloquine
107,Artesunate/pyronaridine teraphosphate,Artesunate/pyronaridine tetraphosphate
108,Artesunae/pyronaridine teraphosphate,Artesunate/pyronaridine tetraphosphate
109,Akrtesunate/pyronaridine tetraphosphate,Artesunate/pyronaridine tetraphosphate
110,Artesunate/pyronaridine tetraKhosphate,Artesunate/pyronaridine tetraphosphate
111,ArtesunYte/pyronaridine tetraKhosphate,Artesunate/pyronaridine tetraphosphate
112,Ascorbic aGid,Ascorbic acid
113,Asaraginase,Asparaginase
114,Asaragnase,Asparaginase
115,Asparraginase,Asparaginase
116,AsparraginaXse,Asparaginase
117,Atazanavir/ritYnavir,Atazanavir/ritonavir
118,AtracuriCm,Atracurium
119,AtraLuriCm,Atracurium
120,Atracurim,Atracurium
121,Atopine,Atropine
122,AtrGopine,Atropine
123,AtrGoEpine,Atropine
124,AtrAopine,Atropine
125,Azathiopgrine,Azathioprine
126,Azatyhiopgrine,Azathioprine
127,Azathikoprine,Azathioprine
128,PAzathioprine,Azathioprine
129,AGithromycin,Azithromycin
130,AGivhromycin,Azithromycin
131,Azithrolycin,Azithromycin
132,Azithrolylin,Azithromycin
133,Barium sulate,Barium sulfate
134,Barium sulae,Barium sulfate
135,Bariu sulfate,Barium sulfate
136,ariu sulfate,Barium sulfate
137,Oarium sulfate,Barium sulfate
138,Oarium sulfUte,Barium sulfate
139,aCG vaccine,BCG vaccine
140,Bedaquisine,Bedaquiline
141,Uedaquiline,Bedaquiline
142,BendamustinzBendamustine,Bendamustine
143,endamustine,Bendamustine
144,Benzathine benzylpeicillin,Benzathine benzylpenicillin
145,Benzathine benzylpenicilltin,Benzathine benzylpenicillin
146,Benzathinse benzylpenicilltin,Benzathine benzylpenicillin
147,BenzathiNe benzylpenicillin,Benzathine benzylpenicillin
148,BenzathiNe benzylpeiicillin,Benzathine benzylpenicillin
149,Benzniazole,Benznidazole
150,Benznidazle,Benznidazole
151,enznidazle,Benznidazole
152,Benzidazole,Benznidazole
153,senzoyl peroxide,Benzoyl peroxide
154,Banzoyl peroxide,Benzoyl peroxide
155,Benzoyl peroide,Benzoyl peroxide
156,Benoyl peroide,Benzoyl peroxide
157,Benzyl benpoate,Benzyl benzoate
158,Benzyl benToate,Benzyl benzoate
159,Benzyl bengzoate,Benzyl benzoate
160,Bejnzyl bengzoate,Benzyl benzoate
161,Benzylpenicilin,Benzylpenicillin
162,Benzlpenicilin,Benzylpenicillin
163,Betamehasone,Betamethasone
164,Betamethnsone,Betamethasone
165,BetamethnsAne,Betamethasone
166,Bevbacizumab,Bevacizumab
167,Bevbacizukmab,Bevacizumab
168,lBevacizumab,Bevacizumab
169,lBevacizuKmab,Bevacizumab
170,Bevaczumab,Bevacizumab
171,Bicalurtamide,Bicalutamide
172,BicaYlurtamide,Bicalutamide
173,BicalButamide,Bicalutamide
174,Biperidgen,Biperiden
175,Biperildgen,Biperiden
176,Biperidn,Biperiden
177,Bieridn,Biperiden
178,BisoprolSl,Bisoprolol
179,BisoprolDl,Bisoprolol
180,BisoproClol,Bisoprolol
181,BisoproCJlol,Bisoprolol
182,Bsoprolol,Bisoprolol
183,Bleomyin,Bleomycin
184,BlJomycin,Bleomycin
185,ortezomib,Bortezomib
186,Bortezomirb,Bortezomib
187,Bortezonmirb,Bortezomib
188,BoEtezomib,Bortezomib
189,BzEtezomib,Bortezomib
190,HBudesonide,Budesonide
191,Fudesonide,Budesonide
192,FudesZnide,Budesonide
193,Budesonid/formoterol,Budesonide/formoterol
194,Budesonid/formoteol,Budesonide/formoterol
195,Buivacaine,Bupivacaine
196,BupivacainNBupivacaine,Bupivacaine
197,Bbupropion,Bupropion
198,Bbyupropion,Bupropion
199,BuJropion,Bupropion
200,WuJropion,Bupropion
201,Pupropion,Bupropion
202,Caffeine citratZCaffeine citrate,Caffeine citrate
203,Caffeine citratZCafLeine citrate,Caffeine citrate
204,Caffeine citraRe,Caffeine citrate
205,CalAamine,Calamine
206,Malamine,Calamine
207,Cealamine,Calamine
208,Cealavmine,Calamine
209,CalcipoRtriol,Calcipotriol
210,COalcipoRtriol,Calcipotriol
211,Calaipotriol,Calcipotriol
212,alcium,Calcium
213,CalciuzCalcium,Calcium
214,Calium,Calcium
215,Calcium foliWnate,Calcium folinate
216,Calcium folipWnate,Calcium folinate
217,Calcium folinOte,Calcium folinate
218,Cacium folinate,Calcium folinate
219,Ccium folinate,Calcium folinate
220,Calcium gluconatMe,Calcium gluconate
221,Calciuam gluconatMe,Calcium gluconate
222,Calciuem gluconate,Calcium gluconate
223,Clcium gluconate,Calcium gluconate
224,Clcium gluonate,Calcium gluconate
225,Cavpecitabine,Capecitabine
226,CavpecTitabine,Capecitabine
227,Capecgitabine,Capecitabine
228,Capcitabine,Capecitabine
229,apcitabine,Capecitabine
230,CarbamazepiNe,Carbamazepine
231,Carbamazepide,Carbamazepine
232,Carbeiocin,Carbetocin
233,Carbenocin,Carbetocin
234,CarbHnocin,Carbetocin
235,JCarboplatin,Carboplatin
236,Cefaaexin,Cefalexin
237,Cefaaeain,Cefalexin
238,Cefalehxin,Cefalexin
239,Cefealehxin,Cefalexin
240,Cefaolin,Cefazolin
