,0,1
0,лчамивудин,ламивудин
1,лчЭамивудин,ламивудин
2,окситоцн,окситоцин
3,окитоцн,окситоцин
4,окситоуцин,окситоцин
5,окситоЦцин,окситоцин
6,натрЩия йодид,натрия йодид
7,нантрЩия йодид,натрия йодид
8,рофещкоксиб,рофекоксиб
9,рофещкоксЭиб,рофекоксиб
10,рофекосиб,рофекоксиб
11,стрептоммицин,стрептомицин
12,стрептоммициШн,стрептомицин
13,стреъптомицин,стрептомицин
14,стрепомицин,стрептомицин
15,парекксиб,парекоксиб
16,прекоксиб,парекоксиб
17,пркоксиб,парекоксиб
18,терлиырессин,терлипрессин
19,Мерлиырессин,терлипрессин
20,ерлипрессин,терлипрессин
21,течрлипрессин,терлипрессин
22,течрлипреДссин,терлипрессин
23,игнин,лигнин
24,игниигнин,лигнин
25,лигнн,лигнин
26,Улигнин,лигнин
27,прифиния хромид,прифиния бромид
28,тиоколхикозад,тиоколхикозид
29,тиокШлхикозид,тиоколхикозид
30,фозиноприфозиноприл,фозиноприл
31,фоиноприл,фозиноприл
32,финоприл,фозиноприл
33,дапагШифлозин,дапаглифлозин
34,дапаглиЕфлозин,дапаглифлозин
35,дапаглиЕрфлозин,дапаглифлозин
36,подоржник,подорожник
37,поорожник,подорожник
38,фнспирид,фенспирид
39,фнсприд,фенспирид
40,Ффенспирид,фенспирид
41,фменспирид,фенспирид
42,фменсяпирид,фенспирид
43,эпзэтин бета,эпоэтин бета
44,эЗзэтин бета,эпоэтин бета
45,эпоэтинд бета,эпоэтин бета
46,эпоэИтинд бета,эпоэтин бета
47,эпэтин бета,эпоэтин бета
48,пэтин бета,эпоэтин бета
49,пэгфилюграстим,пэгфилграстим
50,пэгфилюграстФим,пэгфилграстим
51,пэгфилграстФим,пэгфилграстим
52,пэгфиулграстим,пэгфилграстим
53,пэгЫфиулграстим,пэгфилграстим
54,лиЩаглутид,лираглутид
55,лиЩаглуйид,лираглутид
56,лирагутид,лираглутид
57,лираглуид,лираглутид
58,ираглуид,лираглутид
59,армодафинцл,армодафинил
60,аПмодафинил,армодафинил
61,пУоместриен,проместриен
62,пУоместриен,проместриен
63,йитуксимаб,ритуксимаб
64,йитёксимаб,ритуксимаб
65,ритукчсимаб,ритуксимаб
66,ритукчсимхаб,ритуксимаб
67,бикалутамибикалутамид,бикалутамид
68,бикалутамибиалутамид,бикалутамид
69,сульфадиаУзин,сульфадиазин
70,сульфаиазин,сульфадиазин
71,ульфаиазин,сульфадиазин
72,сульфадиазиЭн,сульфадиазин
73,метилтиониния хлоид,метилтиониния хлорид
74,стальник пашынный,стальник пашенный
75,стальник пашыбный,стальник пашенный
76,стальник ашенный,стальник пашенный
77,стальндк пашенный,стальник пашенный
78,стальндк пашеньый,стальник пашенный
79,еранолазин,ранолазин
80,ранолазиТн,ранолазин
81,фентиконаЩзол,фентиконазол
82,феКнтиконаЩзол,фентиконазол
83,фентХконазол,фентиконазол
84,фентХкоЯазол,фентиконазол
85,апВротинин,апротинин
86,апВротиШнин,апротинин
87,тилония бромид,отилония бромид
88,отилонжя бромид,отилония бромид
89,отилонЪя бромид,отилония бромид
90,сЩрофантин,строфантин
91,сЩрофанлин,строфантин
92,стлрофантин,строфантин
93,колистиметат натуий,колистиметат натрий
94,колистимРтат натуий,колистиметат натрий
95,лофеин,кофеин
96,копник лекарственный,окопник лекарственный
97,окопник лекарсэвенный,окопник лекарственный
98,оекопник лекарственный,окопник лекарственный
99,крбзотиниб,кризотиниб
100,крбщотиниб,кризотиниб
101,кризотиничб,кризотиниб
102,риМфамицин,рифамицин
103,рифамицигрифамицин,рифамицин
104,рифамицЯн,рифамицин
105,нитрендипн,нитрендипин
106,нитрендипМн,нитрендипин
107,зитрендипМн,нитрендипин
108,менаион натрий бисульфит,менадион натрий бисульфит
109,менаион атрий бисульфит,менадион натрий бисульфит
110,менадион натрший бисульфит,менадион натрий бисульфит
111,менадион натрший бисульфЬит,менадион натрий бисульфит
112,енадион натрий бисульфит,менадион натрий бисульфит
113,ендион натрий бисульфит,менадион натрий бисульфит
114,пЩропафенон,пропафенон
115,еразозин,теразозин
116,терЦзозин,теразозин
117,ЭерЦзозин,теразозин
118,теразБзин,теразозин
119,теразБзиьтеразБзин,теразозин
120,сульфкамфокаин,сульфокамфокаин
121,сулькамфокаин,сульфокамфокаин
